,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,International Migrant Stock 2020: Origin,,,,,,,,,,,,,,,,,,,,,
219,   Saint Lucia,,662,, 21 999, 30 672, 39 556, 46 897, 50 318, 57 939, 71 227, 10 050, 13 822, 17 671, 20 493, 21 372, 24 201, 29 632, 11 949, 16 850, 21 885, 26 404, 28 946, 33 738, 41 595
220,   Saint Martin (French part)*,,663,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
221,   Saint Vincent and the Grenadines,,670,, 37 010, 45 669, 53 543, 55 611, 55 435, 62 292, 55 525, 17 889, 22 245, 26 215, 26 629, 25 950, 29 062, 25 768, 19 121, 23 424, 27 328, 28 982, 29 485, 33 230, 29 757
222,   Sint Maarten (Dutch part)*,,534,,  707,  914, 1 186, 1 246, 3 303, 1 929, 2 191,  344,  446,  591,  623, 1 563,  932, 1 065,  363,  468,  595,  623, 1 740,  997, 1 126
223,   Trinidad and Tobago,,780,, 197 440, 251 142, 307 795, 322 906, 350 517, 368 633, 330 519, 87 571, 109 768, 133 408, 139 303, 148 434, 154 574, 137 377, 109 869, 141 374, 174 387, 183 603, 202 083, 214 059, 193 142
224,   Turks and Caicos Islands*,,796,, 2 308, 1 533,  740, 1 190, 2 197, 2 454, 2 689, 1 004,  679,  345,  525,  949, 1 036, 1 136, 1 304,  854,  395,  665, 1 248, 1 418, 1 553
225,   United States Virgin Islands*,,850,, 2 309, 3 030, 3 814, 3 638, 3 711, 3 953, 3 908, 1 150, 1 651, 2 181, 2 075, 2 076, 2 206, 2 169, 1 159, 1 379, 1 633, 1 563, 1 635, 1 747, 1 739
226,  Central America,,916,,6 823 036,9 288 464,12 228 703,13 978 650,16 204 451,16 291 222,16 198 974,3 539 221,4 886 482,6 477 478,7 424 343,8 489 498,8 439 482,8 312 535,3 283 815,4 401 982,5 751 225,6 554 307,7 714 953,7 851 740,7 886 439
227,   Belize,,84,, 36 101, 41 950, 48 211, 51 883, 57 371, 63 099, 52 756, 15 084, 17 640, 20 421, 22 256, 24 357, 26 615, 22 097, 21 017, 24 310, 27 790, 29 627, 33 014, 36 484, 30 659
228,   Costa Rica,,188,, 69 283, 84 980, 105 227, 117 618, 132 317, 138 237, 150 241, 29 052, 35 626, 44 546, 50 583, 56 633, 59 116, 64 129, 40 231, 49 354, 60 681, 67 035, 75 684, 79 121, 86 112
229,   El Salvador,,222,,1 241 849, 933 103, 949 042,1 118 793,1 337 085,1 512 895,1 599 058, 608 473, 463 004, 480 184, 568 376, 670 201, 753 461, 794 168, 633 376, 470 099, 468 858, 550 417, 666 884, 759 434, 804 890
230,   Guatemala,,320,, 348 189, 461 891, 582 796, 736 715, 924 898,1 118 115,1 368 431, 175 814, 234 806, 297 854, 375 251, 463 621, 557 854, 676 642, 172 375, 227 085, 284 942, 361 464, 461 277, 560 261, 691 789
231,   Honduras,,340,, 156 379, 246 575, 342 103, 448 882, 587 503, 729 855, 985 077, 66 801, 106 313, 148 387, 195 742, 249 972, 305 667, 401 073, 89 578, 140 262, 193 716, 253 140, 337 531, 424 188, 584 004
232,   Mexico,,484,,4 395 355,6 949 276,9 562 878,10 817 810,12 415 222,11 923 234,11 185 737,2 358 111,3 746 874,5 172 990,5 877 135,6 668 397,6 358 119,5 947 873,2 037 244,3 202 402,4 389 888,4 940 675,5 746 825,5 565 115,5 237 864
233,   Nicaragua,,558,, 441 488, 437 711, 501 517, 555 532, 610 211, 655 577, 718 154, 219 504, 216 401, 245 092, 269 682, 287 563, 305 105, 338 488, 221 984, 221 310, 256 425, 285 850, 322 648, 350 472, 379 666
234,   Panama,,591,, 134 392, 132 978, 136 929, 131 417, 139 844, 150 210, 139 520, 66 382, 65 818, 68 004, 65 318, 68 754, 73 545, 68 065, 68 010, 67 160, 68 925, 66 099, 71 090, 76 665, 71 455
235,  South America,,931,,4 310 588,5 345 387,6 433 510,8 852 885,11 159 697,11 779 471,17 612 735,2 031 944,2 492 397,2 975 915,4 091 659,5 093 186,5 339 740,8 131 773,2 278 644,2 852 990,3 457 595,4 761 226,6 066 511,6 439 731,9 480 962
236,   Argentina,,32,, 430 155, 481 968, 555 542, 805 291, 938 639, 943 843,1 076 148, 203 580, 230 267, 268 387, 397 540, 463 178, 462 826, 525 891, 226 575, 251 701, 287 155, 407 751, 475 461, 481 017, 550 257
237,   Bolivia (Plurinational State of),,68,, 224 693, 283 540, 344 702, 543 766, 779 961, 824 008, 927 244, 115 446, 144 466, 174 719, 265 889, 368 682, 390 857, 435 335, 109 247, 139 074, 169 983, 277 877, 411 279, 433 151, 491 909
238,   Brazil,,76,, 491 359, 730 491, 940 458,1 194 575,1 495 404,1 504 231,1 897 128, 221 394, 323 017, 406 768, 511 722, 632 242, 637 038, 801 922, 269 965, 407 474, 533 690, 682 853, 863 162, 867 193,1 095 206
239,   Chile,,152,, 493 026, 499 207, 511 997, 541 745, 571 842, 618 015, 643 800, 248 431, 245 982, 246 871, 260 036, 271 267, 291 195, 306 204, 244 595, 253 225, 265 126, 281 709, 300 575, 326 820, 337 596
240,   Colombia,,170,,1 009 148,1 215 967,1 433 940,1 883 904,2 554 020,2 698 688,3 024 273, 458 639, 556 126, 658 250, 859 318,1 177 853,1 234 218,1 376 442, 550 509, 659 841, 775 690,1 024 586,1 376 167,1 464 470,1 647 831
241,   Ecuador,,218,, 214 008, 326 230, 446 380, 986 599,1 152 897,1 130 774,1 127 891, 105 646, 159 665, 217 734, 478 800, 556 323, 538 153, 531 506, 108 362, 166 565, 228 646, 507 799, 596 574, 592 621, 596 385
242,   Falkland Islands (Malvinas)*,,238,,  255,  760, 1 262, 1 095, 1 174, 1 370, 1 518,  139,  336,  528,  467,  515,  578,  636,  116,  424,  734,  628,  659,  792,  882
243,   French Guiana*,,254,, 2 840, 3 221, 3 640, 3 800, 3 940, 4 517, 4 595, 1 250, 1 390, 1 548, 1 612, 1 666, 1 847, 1 904, 1 590, 1 831, 2 092, 2 188, 2 274, 2 670, 2 691
244,   Guyana,,328,, 233 318, 295 292, 362 157, 392 555, 439 233, 481 258, 438 413, 110 591, 139 840, 171 419, 185 054, 204 145, 222 385, 201 232, 122 727, 155 452, 190 738, 207 501, 235 088, 258 873, 237 181
245,   Paraguay,,600,, 297 742, 335 845, 374 675, 545 698, 765 811, 845 591, 896 484, 131 474, 147 026, 162 710, 238 432, 329 005, 363 105, 384 808, 166 268, 188 819, 211 965, 307 266, 436 806, 482 486, 511 676
246,   Peru,,604,, 313 209, 505 474, 694 144, 969 002,1 299 095,1 410 199,1 519 635, 149 436, 231 433, 311 609, 437 143, 563 929, 605 953, 665 107, 163 773, 274 041, 382 535, 531 859, 735 166, 804 246, 854 528
247,   Suriname,,740,, 177 857, 191 535, 211 219, 248 782, 258 715, 254 612, 273 209, 86 610, 91 317, 98 738, 115 287, 116 117, 112 784, 120 783, 91 247, 100 218, 112 481, 133 495, 142 598, 141 828, 152 426
248,   Uruguay,,858,, 237 486, 233 993, 235 641, 298 986, 338 438, 353 225, 367 060, 116 499, 114 568, 115 418, 146 441, 161 309, 167 247, 174 801, 120 987, 119 425, 120 223, 152 545, 177 129, 185 978, 192 259
249,   Venezuela (Bolivarian Republic of),,862,, 185 492, 241 864, 317 753, 437 087, 560 528, 709 140,5 415 337, 82 809, 106 964, 141 216, 193 918, 246 955, 311 554,2 605 202, 102 683, 134 900, 176 537, 243 169, 313 573, 397 586,2 810 135
250, NORTHERN AMERICA,,905,,2 802 135,2 946 161,3 149 919,3 512 106,3 969 803,4 014 649,4 327 958,1 265 636,1 332 584,1 428 451,1 621 606,1 828 799,1 860 379,2 021 487,1 536 499,1 613 577,1 721 468,1 890 500,2 141 004,2 154 270,2 306 471
251,   Bermuda*,,60,, 71 681, 42 587, 14 079, 14 907, 15 313, 16 225, 21 107, 34 691, 20 705, 6 962, 7 391, 7 588, 8 007, 10 312, 36 990, 21 882, 7 117, 7 516, 7 725, 8 218, 10 795
252,   Canada,,124,, 994 254,1 064 305,1 142 641,1 185 156,1 268 057,1 263 552,1 292 329, 364 830, 393 811, 427 501, 452 582, 482 978, 479 163, 499 038, 629 424, 670 494, 715 140, 732 574, 785 079, 784 389, 793 291
253,   Greenland*,,304,, 9 504, 11 361, 13 388, 14 618, 15 391, 16 711, 17 866, 3 771, 4 552, 5 412, 6 038, 6 484, 7 154, 7 658, 5 733, 6 809, 7 976, 8 580, 8 907, 9 557, 10 208
254,   Saint Pierre and Miquelon*,,666,,  483,  477,  484,  426,  390,  400,  433,  238,  246,  260,  219,  189,  222,  242,  245,  231,  224,  207,  201,  178,  191
255,   United States of America*,,840,,1 726 213,1 827 431,1 979 327,2 296 999,2 670 652,2 717 761,2 996 223, 862 106, 913 270, 988 316,1 155 376,1 331 560,1 365 833,1 504 237, 864 107, 914 161, 991 011,1 141 623,1 339 092,1 351 928,1 491 986
256, OCEANIA ,,909,, 961 547,1 071 295,1 246 836,1 391 418,1 591 168,1 751 422,1 970 205, 468 974, 519 067, 604 446, 680 818, 788 805, 863 511, 967 645, 492 573, 552 228, 642 390, 710 600, 802 363, 887 911,1 002 560
257,  Australia and New Zealand,,927,, 689 030, 758 234, 871 660, 984 280,1 149 265,1 256 202,1 404 924, 335 351, 366 709, 421 127, 481 926, 573 939, 622 696, 693 842, 353 679, 391 525, 450 533, 502 354, 575 326, 633 506, 711 082
258,   Australia*,,36,, 301 013, 341 312, 381 836, 428 769, 486 949, 518 158, 598 765, 139 236, 157 264, 175 553, 201 054, 236 444, 248 125, 287 109, 161 777, 184 048, 206 283, 227 715, 250 505, 270 033, 311 656
259,   New Zealand*,,554,, 388 017, 416 922, 489 824, 555 511, 662 316, 738 044, 806 159, 196 115, 209 445, 245 574, 280 872, 337 495, 374 571, 406 733, 191 902, 207 477, 244 250, 274 639, 324 821, 363 473, 399 426
260,  Melanesia,,928,, 104 497, 123 300, 150 371, 177 020, 204 278, 229 769, 256 021, 50 814, 59 221, 72 454, 85 269, 97 733, 109 523, 121 526, 53 683, 64 079, 77 917, 91 751, 106 545, 120 246, 134 495
261,   Fiji,,242,, 90 161, 106 488, 131 908, 157 045, 183 607, 208 568, 233 856, 43 626, 50 855, 63 308, 75 347, 87 439, 99 311, 110 816, 46 535, 55 633, 68 600, 81 698, 96 168, 109 257, 123 040
262,   New Caledonia*,,540,, 4 148, 4 600, 4 941, 5 219, 5 377, 5 584, 5 839, 1 927, 2 134, 2 274, 2 486, 2 664, 2 725, 2 855, 2 221, 2 466, 2 667, 2 733, 2 713, 2 859, 2 984
263,   Papua New Guinea,,598,, 3 107, 4 059, 4 552, 4 493, 4 231, 4 980, 4 810, 1 570, 2 035, 2 279, 2 224, 2 090, 2 351, 2 353, 1 537, 2 024, 2 273, 2 269, 2 141, 2 629, 2 457
264,   Solomon Islands,,90,, 2 212, 2 542, 2 728, 2 999, 3 371, 3 886, 4 270, 1 134, 1 281, 1 346, 1 456, 1 645, 1 913, 2 072, 1 078, 1 261, 1 382, 1 543, 1 726, 1 973, 2 198
265,   Vanuatu,,548,, 4 869, 5 611, 6 242, 7 264, 7 692, 6 751, 7 246, 2 557, 2 916, 3 247, 3 756, 3 895, 3 223, 3 430, 2 312, 2 695, 2 995, 3 508, 3 797, 3 528, 3 816
266,  Micronesia,,954,, 21 460, 29 154, 39 034, 39 932, 39 030, 41 950, 50 998, 10 467, 14 456, 19 250, 19 834, 19 448, 20 869, 25 179, 10 993, 14 698, 19 784, 20 098, 19 582, 21 081, 25 819
267,   Guam*,,316,, 1 375, 1 614, 2 797, 2 535, 2 209, 2 132, 2 213,  693,  851, 1 387, 1 228, 1 002,  981, 1 007,  682,  763, 1 410, 1 307, 1 207, 1 151, 1 206
268,   Kiribati,,296,, 4 053, 4 246, 3 991, 4 021, 3 565, 4 127, 5 103, 1 937, 2 033, 1 898, 1 940, 1 739, 2 017, 2 495, 2 116, 2 213, 2 093, 2 081, 1 826, 2 110, 2 608
269,   Marshall Islands,,584,, 1 426, 4 154, 6 976, 6 654, 6 492, 7 625, 10 886,  707, 2 080, 3 489, 3 337, 3 214, 3 763, 5 315,  719, 2 074, 3 487, 3 317, 3 278, 3 862, 5 571
270,   Micronesia (Fed. States of),,583,, 7 713, 12 138, 16 914, 18 346, 19 404, 20 633, 24 945, 3 935, 6 150, 8 518, 9 227, 9 711, 10 312, 12 361, 3 778, 5 988, 8 396, 9 119, 9 693, 10 321, 12 584
271,   Nauru,,520,, 1 419, 1 511, 1 593, 1 869, 2 130, 2 267, 2 454,  627,  698,  769,  933, 1 094, 1 128, 1 214,  792,  813,  824,  936, 1 036, 1 139, 1 240
272,   Northern Mariana Islands*,,580,, 2 517, 2 647, 2 765, 2 725, 2 611, 2 607, 2 741, 1 199, 1 274, 1 333, 1 346, 1 329, 1 339, 1 401, 1 318, 1 373, 1 432, 1 379, 1 282, 1 268, 1 340
273,   Palau,,585,, 2 957, 2 844, 3 998, 3 782, 2 619, 2 559, 2 656, 1 369, 1 370, 1 856, 1 823, 1 359, 1 329, 1 386, 1 588, 1 474, 2 142, 1 959, 1 260, 1 230, 1 270
274,  Polynesia*,,957,, 146 560, 160 607, 185 771, 190 186, 198 595, 223 501, 258 262, 72 342, 78 681, 91 615, 93 789, 97 685, 110 423, 127 098, 74 218, 81 926, 94 156, 96 397, 100 910, 113 078, 131 164
275,   American Samoa*,,16,, 2 041, 2 638, 3 186, 2 588, 2 157, 1 961, 1 832, 1 049, 1 365, 1 629, 1 327, 1 097,  992,  924,  992, 1 273, 1 557, 1 261, 1 060,  969,  908
276,   Cook Islands*,,184,, 17 485, 17 009, 19 478, 19 580, 20 556, 21 555, 21 106, 8 377, 8 149, 9 491, 9 550, 10 065, 10 691, 10 453, 9 108, 8 860, 9 987, 10 030, 10 491, 10 864, 10 653
277,   French Polynesia*,,258,, 3 132, 3 738, 4 300, 2 717, 1 550, 1 978, 2 157, 1 583, 1 868, 2 125, 1 370,  833, 1 082, 1 187, 1 549, 1 870, 2 175, 1 347,  717,  896,  970
278,   Niue*,,570,, 5 858, 5 571, 5 749, 5 291, 5 347, 5 348, 5 186, 2 832, 2 648, 2 788, 2 588, 2 609, 2 620, 2 555, 3 026, 2 923, 2 961, 2 703, 2 738, 2 728, 2 631
279,   Samoa,,882,, 74 861, 81 952, 94 541, 99 230, 104 820, 116 855, 135 732, 36 602, 39 841, 46 571, 48 839, 51 453, 57 509, 66 671, 38 259, 42 111, 47 970, 50 391, 53 367, 59 346, 69 061
280,   Tokelau*,,772,, 1 684, 1 810, 2 061, 2 090, 2 168, 2 171, 2 112,  836,  900, 1 017, 1 037, 1 090, 1 096, 1 068,  848,  910, 1 044, 1 053, 1 078, 1 075, 1 044
281,   Tonga,,776,, 32 665, 38 208, 46 444, 48 337, 51 521, 59 203, 74 550, 16 196, 18 815, 22 879, 23 897, 25 430, 29 476, 36 751, 16 469, 19 393, 23 565, 24 440, 26 091, 29 727, 37 799
282,   Tuvalu,,798,, 2 350, 2 738, 2 611, 2 917, 3 011, 3 203, 3 670, 1 203, 1 380, 1 354, 1 482, 1 475, 1 593, 1 816, 1 147, 1 358, 1 257, 1 435, 1 536, 1 610, 1 854
283,   Wallis and Futuna Islands*,,876,, 6 484, 6 943, 7 401, 7 436, 7 465, 11 227, 11 917, 3 664, 3 715, 3 761, 3 699, 3 633, 5 364, 5 673, 2 820, 3 228, 3 640, 3 737, 3 832, 5 863, 6 244
284,OTHER,,2003,,8 640 334,7 477 497,7 063 730,7 820 665,8 757 236,10 918 842,12 657 151,4 408 990,3 776 224,3 593 958,4 096 864,4 601 492,5 685 512,6 533 198,4 231 344,3 701 273,3 469 772,3 723 801,4 155 744,5 233 330,6 123 953
