"Region, development group, country or area",Notes,Location code,Type of data,Year,Numero de Migrantes,Género
   Cambodia,0,116,B R,2005H,0.9,Hombres
   Indonesia,0,360,B R,2005H,0.1,Hombres
   Lao People's Democratic Republic,0,418,C R,2005H,0.4,Hombres
   Malaysia*,0,458,C R,2005H,8.6,Hombres
   Myanmar,0,104,C,2005H,0.2,Hombres
   Philippines,0,608,C R,2005H,0.3,Hombres
   Singapore,0,702,B,2005H,35.2,Hombres
   Thailand,0,764,B R,2005H,3.4,Hombres
   Timor-Leste,0,626,B R,2005H,1.1,Hombres
   Viet Nam,0,704,C R,2005H,0.1,Hombres
  Southern Asia,0,5501,0,2005H,0.8,Hombres
   Afghanistan,0,4,B R,2005H,0.4,Hombres
   Bangladesh,0,50,B R,2005H,0.8,Hombres
   Bhutan,0,64,B,2005H,9.6,Hombres
   India,0,356,B R,2005H,0.5,Hombres
   Iran (Islamic Republic of),0,364,C R,2005H,3.9,Hombres
   Maldives,0,462,C,2005H,16.2,Hombres
   Nepal,0,524,B R,2005H,1.8,Hombres
   Pakistan,0,586,B R,2005H,2.1,Hombres
   Sri Lanka,0,144,B R,2005H,0.2,Hombres
  Western Asia,0,922,0,2005H,12.6,Hombres
   Armenia,0,51,B R,2005H,13.7,Hombres
   Azerbaijan*,0,31,B R,2005H,3.2,Hombres
   Bahrain,0,48,C R,2005H,54.0,Hombres
   Cyprus*,0,196,B,2005H,10.3,Hombres
   Georgia*,0,268,B R,2005H,1.6,Hombres
   Iraq,0,368,C R,2005H,0.6,Hombres
   Israel,0,376,B R,2005H,26.9,Hombres
   Jordan,0,400,C R,2005H,37.6,Hombres
   Kuwait,0,414,C R,2005H,68.5,Hombres
   Lebanon,0,422,B R,2005H,16.0,Hombres
   Oman,0,512,C R,2005H,37.2,Hombres
   Qatar,0,634,C,2005H,85.3,Hombres
   Saudi Arabia,0,682,C R,2005H,33.7,Hombres
   State of Palestine*,5.0,275,B,2005H,6.9,Hombres
   Syrian Arab Republic,0,760,C R,2005H,4.8,Hombres
   Turkey,0,792,B R,2005H,1.9,Hombres
   United Arab Emirates,0,784,C R,2005H,74.0,Hombres
   Yemen,0,887,C R,2005H,1.0,Hombres
 EUROPE,0,908,0,2005H,8.8,Hombres
  Eastern Europe,0,923,0,2005H,6.7,Hombres
   Belarus,0,112,B,2005H,11.4,Hombres
   Bulgaria,0,100,B,2005H,0.7,Hombres
   Czechia,0,203,C,2005H,3.6,Hombres
   Hungary,0,348,B,2005H,3.6,Hombres
   Poland,0,616,B,2005H,1.6,Hombres
   Republic of Moldova*,0,498,B,2005H,3.4,Hombres
   Romania,0,642,B,2005H,0.7,Hombres
   Russian Federation,0,643,B,2005H,8.7,Hombres
   Slovakia,0,703,B,2005H,2.2,Hombres
   Ukraine*,0,804,B,2005H,10.0,Hombres
  Northern Europe,0,924,0,2005H,9.7,Hombres
   Channel Islands*,6.0,830,B,2005H,45.2,Hombres
   Denmark*,7.0,208,B,2005H,7.9,Hombres
   Estonia,0,233,B,2005H,15.0,Hombres
   Faroe Islands*,8.0,234,B,2005H,0.0,Hombres
   Finland*,0,246,B,2005H,3.7,Hombres
   Iceland,0,352,B,2005H,8.4,Hombres
   Ireland,0,372,B,2005H,15.0,Hombres
   Isle of Man*,9.0,833,B,2005H,0.0,Hombres
   Latvia,0,428,B,2005H,15.0,Hombres
   Lithuania,0,440,B,2005H,6.1,Hombres
   Norway*,0,578,B,2005H,7.7,Hombres
   Sweden,0,752,B,2005H,12.0,Hombres
   United Kingdom*,10.0,826,B,2005H,9.5,Hombres
  Southern Europe,0,925,0,2005H,8.0,Hombres
   Albania,0,8,B,2005H,2.1,Hombres
   Andorra,0,20,C,2005H,0.0,Hombres
   Bosnia and Herzegovina,0,70,I R,2005H,1.2,Hombres
   Croatia,0,191,B,2005H,12.9,Hombres
   Gibraltar*,11.0,292,B,2005H,0.0,Hombres
   Greece,0,300,B,2005H,10.6,Hombres
   Holy See*,0,336,I,2005H,0.0,Hombres
   Italy,0,380,B,2005H,6.4,Hombres
   Malta,0,470,B,2005H,5.9,Hombres
   Montenegro,0,499,B,2005H,0.0,Hombres
   North Macedonia,0,807,B,2005H,5.2,Hombres
   Portugal,0,620,B,2005H,7.4,Hombres
   San Marino,0,674,C,2005H,0.0,Hombres
   Serbia*,0,688,B,2005H,8.5,Hombres
   Slovenia,0,705,B,2005H,12.0,Hombres
   Spain*,0,724,B,2005H,9.9,Hombres
  Western Europe,0,926,0,2005H,12.1,Hombres
   Austria,0,40,B,2005H,13.4,Hombres
   Belgium,0,56,B,2005H,12.0,Hombres
   France*,12.0,250,B,2005H,11.2,Hombres
   Germany,0,276,B,2005H,11.7,Hombres
   Liechtenstein,0,438,B,2005H,0.0,Hombres
   Luxembourg,0,442,B,2005H,33.2,Hombres
   Monaco,0,492,B,2005H,0.0,Hombres
   Netherlands*,13.0,528,B,2005H,10.4,Hombres
   Switzerland,0,756,B,2005H,25.5,Hombres
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,2005H,1.3,Hombres
  Caribbean,0,915,0,2005H,3.3,Hombres
   Anguilla*,14.0,660,B R,2005H,0.0,Hombres
   Antigua and Barbuda,0,28,B R,2005H,28.6,Hombres
   Aruba*,15.0,533,B R,2005H,30.6,Hombres
   Bahamas,0,44,B R,2005H,15.0,Hombres
   Barbados,0,52,B R,2005H,10.2,Hombres
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,2005H,0.0,Hombres
   British Virgin Islands*,18.0,92,B R,2005H,0.0,Hombres
   Cayman Islands*,19.0,136,C R,2005H,0.0,Hombres
   Cuba,0,192,B,2005H,0.1,Hombres
   Curaçao*,20.0,531,B R,2005H,0.0,Hombres
   Dominica,0,212,B,2005H,0.0,Hombres
   Dominican Republic,0,214,B R,2005H,5.0,Hombres
   Grenada,0,308,B,2005H,6.5,Hombres
   Guadeloupe*,21.0,312,B,2005H,21.7,Hombres
   Haiti,0,332,B R,2005H,0.2,Hombres
   Jamaica,0,388,B R,2005H,0.9,Hombres
   Martinique*,22.0,474,B R,2005H,14.0,Hombres
   Montserrat*,23.0,500,B,2005H,0.0,Hombres
   Puerto Rico*,24.0,630,B,2005H,9.6,Hombres
   Saint Barthélemy*,0,652,0,2005H,0.0,Hombres
   Saint Kitts and Nevis,0,659,B R,2005H,0.0,Hombres
   Saint Lucia,0,662,B R,2005H,6.0,Hombres
   Saint Martin (French part)*,0,663,0,2005H,0.0,Hombres
   Saint Vincent and the Grenadines,0,670,B R,2005H,4.0,Hombres
   Sint Maarten (Dutch part)*,25.0,534,B R,2005H,0.0,Hombres
   Trinidad and Tobago,0,780,B R,2005H,3.2,Hombres
   Turks and Caicos Islands*,26.0,796,B R,2005H,0.0,Hombres
   United States Virgin Islands*,27.0,850,B,2005H,51.3,Hombres
  Central America,0,916,0,2005H,1.0,Hombres
   Belize,0,84,B R ,2005H,14.8,Hombres
   Costa Rica,0,188,B R,2005H,8.2,Hombres
   El Salvador,0,222,B R,2005H,0.6,Hombres
   Guatemala,0,320,B R,2005H,0.4,Hombres
   Honduras,0,340,B R,2005H,0.4,Hombres
   Mexico,0,484,B R,2005H,0.7,Hombres
   Nicaragua,0,558,B R,2005H,0.7,Hombres
   Panama,0,591,B R,2005H,3.3,Hombres
  South America,0,931,0,2005H,1.2,Hombres
   Argentina,0,32,B R,2005H,4.1,Hombres
   Bolivia (Plurinational State of),0,68,B R,2005H,1.2,Hombres
   Brazil,0,76,B R,2005H,0.4,Hombres
   Chile,0,152,B,2005H,1.7,Hombres
   Colombia,0,170,B,2005H,0.3,Hombres
   Ecuador,0,218,B R,2005H,1.4,Hombres
   Falkland Islands (Malvinas)*,28.0,238,B,2005H,0.0,Hombres
   French Guiana*,29.0,254,B R,2005H,42.5,Hombres
   Guyana,0,328,B R,2005H,1.6,Hombres
   Paraguay,0,600,B R,2005H,3.0,Hombres
   Peru,0,604,B R,2005H,0.3,Hombres
   Suriname,0,740,C R,2005H,7.3,Hombres
   Uruguay,0,858,B R,2005H,2.4,Hombres
   Venezuela (Bolivarian Republic of),0,862,B R,2005H,4.1,Hombres
 NORTHERN AMERICA,0,905,0,2005H,14.0,Hombres
   Bermuda*,30.0,60,B,2005H,0.0,Hombres
   Canada,0,124,B,2005H,18.3,Hombres
   Greenland*,31.0,304,B,2005H,0.0,Hombres
   Saint Pierre and Miquelon*,32.0,666,B,2005H,0.0,Hombres
   United States of America*,33.0,840,B,2005H,13.5,Hombres
 OCEANIA ,0,909,0,2005H,17.7,Hombres
   Australia*,0,36,B,2005H,24.0,Hombres
   New Zealand*,34.0,554,B,2005H,20.1,Hombres
  Melanesia,0,928,0,2005H,1.4,Hombres
   Fiji,0,242,B R,2005H,1.6,Hombres
   New Caledonia*,0,540,B,2005H,25.1,Hombres
   Papua New Guinea,0,598,C R,2005H,0.5,Hombres
   Solomon Islands,0,90,B R,2005H,0.8,Hombres
   Vanuatu,0,548,B R,2005H,1.3,Hombres
  Micronesia,0,954,0,2005H,25.3,Hombres
   Guam*,35.0,316,B,2005H,47.8,Hombres
   Kiribati,0,296,B,2005H,2.9,Hombres
   Marshall Islands,0,584,B,2005H,0.0,Hombres
   Micronesia (Fed. States of),0,583,B,2005H,2.9,Hombres
   Nauru,0,520,C R,2005H,0.0,Hombres
   Northern Mariana Islands*,36.0,580,B,2005H,0.0,Hombres
   Palau,0,585,B,2005H,0.0,Hombres
  Polynesia*,0,957,0,2005H,12.1,Hombres
   American Samoa*,0,16,B,2005H,0.0,Hombres
   Cook Islands*,37.0,184,B R,2005H,0.0,Hombres
   French Polynesia*,38.0,258,B R,2005H,13.9,Hombres
   Niue*,39.0,570,B,2005H,0.0,Hombres
   Samoa,0,882,B R,2005H,3.2,Hombres
   Tokelau*,40.0,772,B R,2005H,0.0,Hombres
   Tonga,0,776,B R,2005H,4.6,Hombres
   Tuvalu,0,798,C,2005H,0.0,Hombres
   Wallis and Futuna Islands*,41.0,876,B R,2005H,0.0,Hombres
   Burundi,0,108,B R,2010H,2.8,Hombres
   Comoros,0,174,B,2010H,1.7,Hombres
   Djibouti,0,262,B R,2010H,12.0,Hombres
   Eritrea,0,232,I R,2010H,0.5,Hombres
   Ethiopia,0,231,B R,2010H,0.7,Hombres
   Kenya,0,404,B R,2010H,2.3,Hombres
   Madagascar,0,450,C R,2010H,0.2,Hombres
   Malawi,0,454,B R,2010H,1.5,Hombres
   Mauritius*,0,480,C,2010H,2.1,Hombres
   Mayotte*,1.0,175,B R,2010H,33.8,Hombres
   Mozambique,0,508,B R,2010H,1.3,Hombres
   Réunion*,2.0,638,B,2010H,15.6,Hombres
   Rwanda,0,646,B R,2010H,4.3,Hombres
   Seychelles,0,690,B,2010H,16.6,Hombres
   Somalia,0,706,I R,2010H,0.4,Hombres
   South Sudan,0,728,B R,2010H,2.5,Hombres
   Uganda,0,800,B R,2010H,1.5,Hombres
   United Republic of Tanzania*,0,834,B R,2010H,0.7,Hombres
   Zambia,0,894,B R,2010H,1.1,Hombres
   Zimbabwe,0,716,B R,2010H,3.8,Hombres
  Middle Africa,0,911,0,2010H,1.9,Hombres
   Angola,0,24,B R,2010H,1.4,Hombres
   Cameroon,0,120,B R,2010H,1.6,Hombres
   Central African Republic,0,140,C R,2010H,2.3,Hombres
   Chad,0,148,B R,2010H,3.1,Hombres
   Congo,0,178,B R,2010H,10.9,Hombres
   Democratic Republic of the Congo,0,180,B R,2010H,0.9,Hombres
   Equatorial Guinea,0,226,C,2010H,0.9,Hombres
   Gabon,0,266,C R,2010H,19.3,Hombres
   Sao Tome and Principe,0,678,C,2010H,1.5,Hombres
  Northern Africa,0,912,0,2010H,1.1,Hombres
   Algeria,0,12,B R,2010H,0.6,Hombres
   Egypt,0,818,B R,2010H,0.4,Hombres
   Libya,0,434,C R,2010H,15.5,Hombres
   Morocco,0,504,C R,2010H,0.2,Hombres
   Sudan,3.0,729,B R,2010H,1.8,Hombres
   Tunisia,0,788,C R,2010H,0.4,Hombres
   Western Sahara,0,732,I,2010H,1.0,Hombres
  Southern Africa,0,913,0,2010H,4.7,Hombres
   Botswana,0,72,B R,2010H,5.6,Hombres
   Eswatini,0,748,B R,2010H,3.3,Hombres
   Lesotho,0,426,C R,2010H,0.4,Hombres
   Namibia,0,516,B R,2010H,5.4,Hombres
   South Africa,0,710,B R,2010H,4.8,Hombres
  Western Africa,0,914,0,2010H,2.2,Hombres
   Benin,0,204,C B R,2010H,3.1,Hombres
   Burkina Faso,0,854,B R,2010H,4.1,Hombres
   Cabo Verde,0,132,B R,2010H,3.0,Hombres
   Côte d'Ivoire,0,384,C B R,2010H,12.6,Hombres
   Gambia,0,270,B R,2010H,11.0,Hombres
   Ghana,0,288,B R,2010H,1.4,Hombres
   Guinea,0,324,C B R,2010H,1.9,Hombres
   Guinea-Bissau,0,624,B R,2010H,1.4,Hombres
   Liberia,0,430,B R,2010H,2.9,Hombres
   Mali,0,466,B R,2010H,2.3,Hombres
   Mauritania,0,478,C R,2010H,2.8,Hombres
   Niger,0,562,B R,2010H,0.7,Hombres
   Nigeria,0,566,C R,2010H,0.7,Hombres
   Saint Helena*,4.0,654,C,2010H,0.0,Hombres
   Senegal,0,686,B R,2010H,2.2,Hombres
   Sierra Leone,0,694,B R,2010H,1.4,Hombres
   Togo,0,768,C R,2010H,4.1,Hombres
 ASIA,0,935,0,2010H,1.7,Hombres
  Central Asia,0,5500,0,2010H,8.0,Hombres
   Kazakhstan,0,398,B R,2010H,20.7,Hombres
   Kyrgyzstan,0,417,B R,2010H,3.5,Hombres
   Tajikistan,0,762,B R,2010H,3.2,Hombres
   Turkmenistan,0,795,B R,2010H,3.6,Hombres
   Uzbekistan,0,860,B R,2010H,3.9,Hombres
  Eastern Asia,0,906,0,2010H,0.4,Hombres
   China*,0,156,C,2010H,0.1,Hombres
"   China, Hong Kong SAR*",0,344,B R,2010H,35.0,Hombres
"   China, Macao SAR*",0,446,B,2010H,56.7,Hombres
"   China, Taiwan Province of China*",0,158,0,2010H,0.0,Hombres
   Dem. People's Republic of Korea,0,408,I,2010H,0.2,Hombres
   Japan,0,392,C,2010H,1.5,Hombres
   Mongolia,0,496,C R,2010H,0.9,Hombres
   Republic of Korea,0,410,C R,2010H,2.1,Hombres
  South-Eastern Asia,0,920,0,2010H,1.5,Hombres
   Brunei Darussalam,0,96,B,2010H,28.3,Hombres
   Cambodia,0,116,B R,2010H,0.6,Hombres
   Indonesia,0,360,B R,2010H,0.1,Hombres
   Lao People's Democratic Republic,0,418,C R,2010H,0.6,Hombres
   Malaysia*,0,458,C R,2010H,10.1,Hombres
   Myanmar,0,104,C,2010H,0.2,Hombres
   Philippines,0,608,C R,2010H,0.2,Hombres
   Singapore,0,702,B,2010H,35.8,Hombres
   Thailand,0,764,B R,2010H,4.9,Hombres
   Timor-Leste,0,626,B R,2010H,1.1,Hombres
   Viet Nam,0,704,C R,2010H,0.1,Hombres
  Southern Asia,0,5501,0,2010H,0.8,Hombres
   Afghanistan,0,4,B R,2010H,0.4,Hombres
   Bangladesh,0,50,B R,2010H,0.9,Hombres
   Bhutan,0,64,B,2010H,10.9,Hombres
   India,0,356,B R,2010H,0.4,Hombres
   Iran (Islamic Republic of),0,364,C R,2010H,4.0,Hombres
   Maldives,0,462,C,2010H,21.0,Hombres
   Nepal,0,524,B R,2010H,1.4,Hombres
   Pakistan,0,586,B R,2010H,2.2,Hombres
   Sri Lanka,0,144,B R,2010H,0.2,Hombres
  Western Asia,0,922,0,2010H,16.6,Hombres
   Armenia,0,51,B R,2010H,6.4,Hombres
   Azerbaijan*,0,31,B R,2010H,2.9,Hombres
   Bahrain,0,48,C R,2010H,62.2,Hombres
   Cyprus*,0,196,B,2010H,14.8,Hombres
   Georgia*,0,268,B R,2010H,1.6,Hombres
   Iraq,0,368,C R,2010H,0.5,Hombres
   Israel,0,376,B R,2010H,24.6,Hombres
   Jordan,0,400,C R,2010H,38.3,Hombres
   Kuwait,0,414,C R,2010H,75.9,Hombres
   Lebanon,0,422,B R,2010H,16.4,Hombres
   Oman,0,512,C R,2010H,35.9,Hombres
   Qatar,0,634,C,2010H,85.0,Hombres
   Saudi Arabia,0,682,C R,2010H,38.5,Hombres
   State of Palestine*,5.0,275,B,2010H,6.1,Hombres
   Syrian Arab Republic,0,760,C R,2010H,8.4,Hombres
   Turkey,0,792,B R,2010H,1.8,Hombres
   United Arab Emirates,0,784,C R,2010H,85.4,Hombres
   Yemen,0,887,C R,2010H,1.3,Hombres
 EUROPE,0,908,0,2010H,9.6,Hombres
  Eastern Europe,0,923,0,2010H,6.5,Hombres
   Belarus,0,112,B,2010H,11.4,Hombres
   Bulgaria,0,100,B,2010H,0.9,Hombres
   Czechia,0,203,C,2010H,4.6,Hombres
   Hungary,0,348,B,2010H,4.5,Hombres
   Poland,0,616,B,2010H,1.4,Hombres
   Republic of Moldova*,0,498,B,2010H,2.7,Hombres
   Romania,0,642,B,2010H,0.9,Hombres
   Russian Federation,0,643,B,2010H,8.3,Hombres
   Slovakia,0,703,B,2010H,2.6,Hombres
   Ukraine*,0,804,B,2010H,9.8,Hombres
  Northern Europe,0,924,0,2010H,11.1,Hombres
   Channel Islands*,6.0,830,B,2010H,47.0,Hombres
   Denmark*,7.0,208,B,2010H,8.8,Hombres
   Estonia,0,233,B,2010H,14.1,Hombres
   Faroe Islands*,8.0,234,B,2010H,0.0,Hombres
   Finland*,0,246,B,2010H,4.4,Hombres
   Iceland,0,352,B,2010H,10.9,Hombres
   Ireland,0,372,B,2010H,15.9,Hombres
   Isle of Man*,9.0,833,B,2010H,0.0,Hombres
   Latvia,0,428,B,2010H,12.8,Hombres
   Lithuania,0,440,B,2010H,4.8,Hombres
   Norway*,0,578,B,2010H,10.9,Hombres
   Sweden,0,752,B,2010H,13.9,Hombres
   United Kingdom*,10.0,826,B,2010H,11.1,Hombres
  Southern Europe,0,925,0,2010H,10.5,Hombres
   Albania,0,8,B,2010H,1.8,Hombres
   Andorra,0,20,C,2010H,0.0,Hombres
   Bosnia and Herzegovina,0,70,I R,2010H,1.0,Hombres
   Croatia,0,191,B,2010H,12.9,Hombres
   Gibraltar*,11.0,292,B,2010H,0.0,Hombres
   Greece,0,300,B,2010H,12.0,Hombres
   Holy See*,0,336,I,2010H,0.0,Hombres
   Italy,0,380,B,2010H,9.3,Hombres
   Malta,0,470,B,2010H,8.3,Hombres
   Montenegro,0,499,B,2010H,10.3,Hombres
   North Macedonia,0,807,B,2010H,5.2,Hombres
   Portugal,0,620,B,2010H,7.3,Hombres
   San Marino,0,674,C,2010H,0.0,Hombres
   Serbia*,0,688,B,2010H,8.3,Hombres
   Slovenia,0,705,B,2010H,14.3,Hombres
   Spain*,0,724,B,2010H,14.0,Hombres
  Western Europe,0,926,0,2010H,12.8,Hombres
   Austria,0,40,B,2010H,14.8,Hombres
   Belgium,0,56,B,2010H,13.5,Hombres
   France*,12.0,250,B,2010H,11.7,Hombres
   Germany,0,276,B,2010H,12.2,Hombres
   Liechtenstein,0,438,B,2010H,0.0,Hombres
   Luxembourg,0,442,B,2010H,32.3,Hombres
   Monaco,0,492,B,2010H,0.0,Hombres
   Netherlands*,13.0,528,B,2010H,10.6,Hombres
   Switzerland,0,756,B,2010H,26.1,Hombres
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,2010H,1.4,Hombres
  Caribbean,0,915,0,2010H,3.4,Hombres
   Anguilla*,14.0,660,B R,2010H,0.0,Hombres
   Antigua and Barbuda,0,28,B R,2010H,28.0,Hombres
   Aruba*,15.0,533,B R,2010H,31.6,Hombres
   Bahamas,0,44,B R,2010H,16.2,Hombres
   Barbados,0,52,B R,2010H,10.9,Hombres
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,2010H,0.0,Hombres
   British Virgin Islands*,18.0,92,B R,2010H,0.0,Hombres
   Cayman Islands*,19.0,136,C R,2010H,0.0,Hombres
   Cuba,0,192,B,2010H,0.1,Hombres
   Curaçao*,20.0,531,B R,2010H,20.7,Hombres
   Dominica,0,212,B,2010H,0.0,Hombres
   Dominican Republic,0,214,B R,2010H,4.9,Hombres
   Grenada,0,308,B,2010H,6.5,Hombres
   Guadeloupe*,21.0,312,B,2010H,22.7,Hombres
   Haiti,0,332,B R,2010H,0.2,Hombres
   Jamaica,0,388,B R,2010H,0.9,Hombres
   Martinique*,22.0,474,B R,2010H,14.4,Hombres
   Montserrat*,23.0,500,B,2010H,0.0,Hombres
   Puerto Rico*,24.0,630,B,2010H,8.3,Hombres
   Saint Barthélemy*,0,652,0,2010H,0.0,Hombres
   Saint Kitts and Nevis,0,659,B R,2010H,0.0,Hombres
   Saint Lucia,0,662,B R,2010H,5.1,Hombres
   Saint Martin (French part)*,0,663,0,2010H,0.0,Hombres
   Saint Vincent and the Grenadines,0,670,B R,2010H,4.2,Hombres
   Sint Maarten (Dutch part)*,25.0,534,B R,2010H,0.0,Hombres
   Trinidad and Tobago,0,780,B R,2010H,3.5,Hombres
   Turks and Caicos Islands*,26.0,796,B R,2010H,0.0,Hombres
   United States Virgin Islands*,27.0,850,B,2010H,52.6,Hombres
  Central America,0,916,0,2010H,1.1,Hombres
   Belize,0,84,B R ,2010H,14.6,Hombres
   Costa Rica,0,188,B R,2010H,8.6,Hombres
   El Salvador,0,222,B R,2010H,0.7,Hombres
   Guatemala,0,320,B R,2010H,0.4,Hombres
   Honduras,0,340,B R,2010H,0.3,Hombres
   Mexico,0,484,B R,2010H,0.9,Hombres
   Nicaragua,0,558,B R,2010H,0.7,Hombres
   Panama,0,591,B R,2010H,4.4,Hombres
  South America,0,931,0,2010H,1.3,Hombres
   Argentina,0,32,B R,2010H,4.2,Hombres
   Bolivia (Plurinational State of),0,68,B R,2010H,1.3,Hombres
   Brazil,0,76,B R,2010H,0.3,Hombres
   Chile,0,152,B,2010H,2.1,Hombres
   Colombia,0,170,B,2010H,0.3,Hombres
   Ecuador,0,218,B R,2010H,2.6,Hombres
   Falkland Islands (Malvinas)*,28.0,238,B,2010H,0.0,Hombres
   French Guiana*,29.0,254,B R,2010H,40.0,Hombres
   Guyana,0,328,B R,2010H,1.2,Hombres
   Paraguay,0,600,B R,2010H,2.6,Hombres
   Peru,0,604,B R,2010H,0.4,Hombres
   Suriname,0,740,C R,2010H,8.1,Hombres
   Uruguay,0,858,B R,2010H,2.1,Hombres
   Venezuela (Bolivarian Republic of),0,862,B R,2010H,4.8,Hombres
 NORTHERN AMERICA,0,905,0,2010H,14.7,Hombres
   Bermuda*,30.0,60,B,2010H,0.0,Hombres
   Canada,0,124,B,2010H,19.1,Hombres
   Greenland*,31.0,304,B,2010H,0.0,Hombres
   Saint Pierre and Miquelon*,32.0,666,B,2010H,0.0,Hombres
   United States of America*,33.0,840,B,2010H,14.2,Hombres
 OCEANIA ,0,909,0,2010H,19.1,Hombres
   Australia*,0,36,B,2010H,26.4,Hombres
   New Zealand*,34.0,554,B,2010H,21.4,Hombres
  Melanesia,0,928,0,2010H,1.3,Hombres
   Fiji,0,242,B R,2010H,1.6,Hombres
   New Caledonia*,0,540,B,2010H,25.7,Hombres
   Papua New Guinea,0,598,C R,2010H,0.5,Hombres
   Solomon Islands,0,90,B R,2010H,0.6,Hombres
   Vanuatu,0,548,B R,2010H,1.2,Hombres
  Micronesia,0,954,0,2010H,22.6,Hombres
   Guam*,35.0,316,B,2010H,48.0,Hombres
   Kiribati,0,296,B,2010H,3.0,Hombres
   Marshall Islands,0,584,B,2010H,0.0,Hombres
   Micronesia (Fed. States of),0,583,B,2010H,2.9,Hombres
   Nauru,0,520,C R,2010H,0.0,Hombres
   Northern Mariana Islands*,36.0,580,B,2010H,0.0,Hombres
   Palau,0,585,B,2010H,0.0,Hombres
  Polynesia*,0,957,0,2010H,11.7,Hombres
   American Samoa*,0,16,B,2010H,0.0,Hombres
   Cook Islands*,37.0,184,B R,2010H,0.0,Hombres
   French Polynesia*,38.0,258,B R,2010H,13.2,Hombres
   Niue*,39.0,570,B,2010H,0.0,Hombres
   Samoa,0,882,B R,2010H,2.7,Hombres
   Tokelau*,40.0,772,B R,2010H,0.0,Hombres
   Tonga,0,776,B R,2010H,4.8,Hombres
   Tuvalu,0,798,C,2010H,0.0,Hombres
   Wallis and Futuna Islands*,41.0,876,B R,2010H,0.0,Hombres
   Burundi,0,108,B R,2015H,2.9,Hombres
   Comoros,0,174,B,2015H,1.5,Hombres
   Djibouti,0,262,B R,2015H,12.2,Hombres
   Eritrea,0,232,I R,2015H,0.5,Hombres
   Ethiopia,0,231,B R,2015H,1.2,Hombres
   Kenya,0,404,B R,2015H,2.4,Hombres
   Madagascar,0,450,C R,2015H,0.2,Hombres
   Malawi,0,454,B R,2015H,1.1,Hombres
   Mauritius*,0,480,C,2015H,2.5,Hombres
   Mayotte*,1.0,175,B R,2015H,31.9,Hombres
   Mozambique,0,508,B R,2015H,1.2,Hombres
   Réunion*,2.0,638,B,2015H,15.4,Hombres
   Rwanda,0,646,B R,2015H,4.6,Hombres
   Seychelles,0,690,B,2015H,18.3,Hombres
   Somalia,0,706,I R,2015H,0.3,Hombres
   South Sudan,0,728,B R,2015H,8.0,Hombres
   Uganda,0,800,B R,2015H,2.2,Hombres
   United Republic of Tanzania*,0,834,B R,2015H,0.7,Hombres
   Zambia,0,894,B R,2015H,0.8,Hombres
   Zimbabwe,0,716,B R,2015H,3.4,Hombres
  Middle Africa,0,911,0,2015H,2.4,Hombres
   Angola,0,24,B R,2015H,2.2,Hombres
   Cameroon,0,120,B R,2015H,2.2,Hombres
   Central African Republic,0,140,C R,2015H,1.9,Hombres
   Chad,0,148,B R,2015H,3.1,Hombres
   Congo,0,178,B R,2015H,8.8,Hombres
   Democratic Republic of the Congo,0,180,B R,2015H,1.0,Hombres
   Equatorial Guinea,0,226,C,2015H,25.0,Hombres
   Gabon,0,266,C R,2015H,24.6,Hombres
   Sao Tome and Principe,0,678,C,2015H,1.2,Hombres
  Northern Africa,0,912,0,2015H,1.1,Hombres
   Algeria,0,12,B R,2015H,0.6,Hombres
   Egypt,0,818,B R,2015H,0.4,Hombres
   Libya,0,434,C R,2015H,16.9,Hombres
   Morocco,0,504,C R,2015H,0.3,Hombres
   Sudan,3.0,729,B R,2015H,1.6,Hombres
   Tunisia,0,788,C R,2015H,0.5,Hombres
   Western Sahara,0,732,I,2015H,1.1,Hombres
  Southern Africa,0,913,0,2015H,6.1,Hombres
   Botswana,0,72,B R,2015H,5.7,Hombres
   Eswatini,0,748,B R,2015H,3.1,Hombres
   Lesotho,0,426,C R,2015H,0.5,Hombres
   Namibia,0,516,B R,2015H,4.9,Hombres
   South Africa,0,710,B R,2015H,6.5,Hombres
  Western Africa,0,914,0,2015H,2.1,Hombres
   Benin,0,204,C B R,2015H,3.3,Hombres
   Burkina Faso,0,854,B R,2015H,3.7,Hombres
   Cabo Verde,0,132,B R,2015H,2.9,Hombres
   Côte d'Ivoire,0,384,C B R,2015H,11.6,Hombres
   Gambia,0,270,B R,2015H,9.8,Hombres
   Ghana,0,288,B R,2015H,1.6,Hombres
   Guinea,0,324,C B R,2015H,1.4,Hombres
   Guinea-Bissau,0,624,B R,2015H,1.3,Hombres
   Liberia,0,430,B R,2015H,2.9,Hombres
   Mali,0,466,B R,2015H,2.4,Hombres
   Mauritania,0,478,C R,2015H,4.6,Hombres
   Niger,0,562,B R,2015H,1.2,Hombres
   Nigeria,0,566,C R,2015H,0.7,Hombres
   Saint Helena*,4.0,654,C,2015H,0.0,Hombres
   Senegal,0,686,B R,2015H,2.0,Hombres
   Sierra Leone,0,694,B R,2015H,0.9,Hombres
   Togo,0,768,C R,2015H,3.8,Hombres
 ASIA,0,935,0,2015H,2.0,Hombres
  Central Asia,0,5500,0,2015H,7.7,Hombres
   Kazakhstan,0,398,B R,2015H,20.7,Hombres
